69,69,22,0,0.9546666666666667,0.1,-13.973702789999999,8,-0.6351683086363636,0.36363636363636365,-13.97370279,8,-0.635168308636,0.363636363636
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
69,69,23,0,0.954,0.1,-14.973702789999999,8,-0.6510305560869565,0.34782608695652173,-14.97370279,8,-0.651030556087,0.347826086957
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
70,70,23,0,0.954,0.1,-14.973702789999999,8,-0.6510305560869565,0.34782608695652173,-14.97370279,8,-0.651030556087,0.347826086957
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
71,71,23,0,0.9533333333333334,0.1,-14.973702789999999,8,-0.6510305560869565,0.34782608695652173,-14.97370279,8,-0.651030556087,0.347826086957
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
72,72,23,0,0.9526666666666667,0.1,-14.973702789999999,8,-0.6510305560869565,0.34782608695652173,-14.97370279,8,-0.651030556087,0.347826086957
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
72,72,24,0,0.952,0.1,-14.939042511,9,-0.622460104625,0.375,-14.939042511,9,-0.622460104625,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
73,73,24,0,0.952,0.1,-14.939042511,9,-0.622460104625,0.375,-14.939042511,9,-0.622460104625,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
74,74,24,0,0.9513333333333334,0.1,-14.939042511,9,-0.622460104625,0.375,-14.939042511,9,-0.622460104625,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
75,75,24,0,0.9506666666666667,0.1,-14.939042511,9,-0.622460104625,0.375,-14.939042511,9,-0.622460104625,0.375
