update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
190,190,12,0,0.958,6.2428,6,0.032856842105263157,0.5,6.2428,6,0.0328568421053,0.5
191,191,12,0,0.9577777777777777,6.2428,6,0.032684816753926704,0.5,6.2428,6,0.0326848167539,0.5
192,192,12,0,0.9575555555555556,6.2428,6,0.03251458333333333,0.5,6.2428,6,0.0325145833333,0.5
193,193,12,0,0.9573333333333334,6.2428,6,0.032346113989637305,0.5,6.2428,6,0.0323461139896,0.5
194,194,12,0,0.9571111111111111,6.2428,6,0.03217938144329897,0.5,6.2428,6,0.0321793814433,0.5
195,195,13,0,0.9568888888888889,6.26908,6,0.032149128205128205,0.46153846153846156,6.26908,6,0.0321491282051,0.461538461538
196,196,13,0,0.9566666666666667,6.260079999999999,6,0.03193918367346939,0.46153846153846156,6.26008,6,0.0319391836735,0.461538461538
197,197,13,0,0.9564444444444444,6.260079999999999,6,0.03177705583756345,0.46153846153846156,6.26008,6,0.0317770558376,0.461538461538
198,198,13,0,0.9562222222222222,6.260079999999999,6,0.031616565656565655,0.46153846153846156,6.26008,6,0.0316165656566,0.461538461538
199,199,13,0,0.956,6.16008,6,0.030955175879396984,0.46153846153846156,6.16008,6,0.0309551758794,0.461538461538
200,200,13,0,0.9557777777777777,6.16008,6,0.0308004,0.46153846153846156,6.16008,6,0.0308004,0.461538461538
201,201,13,0,0.9555555555555556,6.16008,6,0.030647164179104475,0.46153846153846156,6.16008,6,0.0306471641791,0.461538461538
202,202,13,0,0.9553333333333334,6.16008,6,0.030495445544554453,0.46153846153846156,6.16008,6,0.0304954455446,0.461538461538
203,203,13,0,0.9551111111111111,6.260079999999999,6,0.03083783251231527,0.46153846153846156,6.26008,6,0.0308378325123,0.461538461538
204,204,13,0,0.9548888888888889,6.150079999999999,6,0.030147450980392152,0.46153846153846156,6.15008,6,0.0301474509804,0.461538461538
205,205,13,0,0.9546666666666667,6.150079999999999,6,0.030000390243902435,0.46153846153846156,6.15008,6,0.0300003902439,0.461538461538
206,206,13,0,0.9544444444444444,6.150079999999999,6,0.029854757281553394,0.46153846153846156,6.15008,6,0.0298547572816,0.461538461538
207,207,13,0,0.9542222222222222,6.150079999999999,6,0.02971053140096618,0.46153846153846156,6.15008,6,0.029710531401,0.461538461538
208,208,13,0,0.954,6.15008,6,0.02956769230769231,0.46153846153846156,6.15008,6,0.0295676923077,0.461538461538
209,209,13,0,0.9537777777777778,6.15008,6,0.02942622009569378,0.46153846153846156,6.15008,6,0.0294262200957,0.461538461538
210,210,14,0,0.9535555555555556,7.14718,7,0.034034190476190475,0.5,7.14718,7,0.0340341904762,0.5
211,211,14,0,0.9533333333333334,7.1209,7,0.03374834123222749,0.5,7.1209,7,0.0337483412322,0.5
212,212,14,0,0.9531111111111111,7.117999999999999,7,0.0335754716981132,0.5,7.118,7,0.0335754716981,0.5
213,213,14,0,0.9528888888888889,7.094638,7,0.03330815962441314,0.5,7.094638,7,0.0333081596244,0.5
214,214,14,0,0.9526666666666667,7.094638,7,0.03315251401869159,0.5,7.094638,7,0.0331525140187,0.5
215,215,14,0,0.9524444444444444,7.094638,7,0.03299831627906977,0.5,7.094638,7,0.0329983162791,0.5
216,216,14,0,0.9522222222222222,7.094638,7,0.032845546296296296,0.5,7.094638,7,0.0328455462963,0.5
217,217,14,0,0.952,7.094638,7,0.03269418433179724,0.5,7.094638,7,0.0326941843318,0.5
218,218,14,0,0.9517777777777778,7.094638,7,0.03254421100917431,0.5,7.094638,7,0.0325442110092,0.5
219,219,14,0,0.9515555555555556,7.094638,7,0.032395607305936075,0.5,7.094638,7,0.0323956073059,0.5
220,220,14,0,0.9513333333333334,7.094638,7,0.03224835454545454,0.5,7.094638,7,0.0322483545455,0.5
221,221,14,0,0.9511111111111111,7.094638,7,0.03210243438914027,0.5,7.094638,7,0.0321024343891,0.5
222,222,14,0,0.9508888888888889,7.094638,7,0.031957828828828826,0.5,7.094638,7,0.0319578288288,0.5
223,223,14,0,0.9506666666666667,7.094638,7,0.0318145201793722,0.5,7.094638,7,0.0318145201794,0.5
224,224,14,0,0.9504444444444444,7.094638,7,0.03167249107142857,0.5,7.094638,7,0.0316724910714,0.5
225,225,15,0,0.9502222222222222,7.091737999999999,7,0.031518835555555555,0.4666666666666667,7.091738,7,0.0315188355556,0.466666666667
226,226,15,0,0.95,7.0949279999999995,7,0.031393486725663715,0.4666666666666667,7.094928,7,0.0313934867257,0.466666666667
227,227,15,0,0.9497777777777778,6.994928,7,0.030814660792951542,0.4666666666666667,6.994928,7,0.030814660793,0.466666666667
228,228,15,0,0.9495555555555556,6.994928,7,0.030679508771929823,0.4666666666666667,6.994928,7,0.0306795087719,0.466666666667
229,229,15,0,0.9493333333333334,6.994928,7,0.03054553711790393,0.4666666666666667,6.994928,7,0.0305455371179,0.466666666667
230,230,15,0,0.9491111111111111,6.994928,7,0.030412730434782608,0.4666666666666667,6.994928,7,0.0304127304348,0.466666666667
231,231,15,0,0.9488888888888889,6.994928,7,0.030281073593073592,0.4666666666666667,6.994928,7,0.0302810735931,0.466666666667
232,232,15,0,0.9486666666666667,6.994928,7,0.03015055172413793,0.4666666666666667,6.994928,7,0.0301505517241,0.466666666667
233,233,15,0,0.9484444444444444,6.994928,7,0.030021150214592274,0.4666666666666667,6.994928,7,0.0300211502146,0.466666666667
234,234,15,0,0.9482222222222222,6.994928,7,0.0298928547008547,0.4666666666666667,6.994928,7,0.0298928547009,0.466666666667
235,235,15,0,0.948,6.994928,7,0.029765651063829786,0.4666666666666667,6.994928,7,0.0297656510638,0.466666666667
236,236,15,0,0.9477777777777778,6.994928,7,0.029639525423728812,0.4666666666666667,6.994928,7,0.0296395254237,0.466666666667
