main.py --seed 7

Namespace(algo='q-learning', convg=1e-05, env='tokens-v0', eps_final=0.001, eps_frames=1500, eps_start=1.0, frames=30000, games=500, gamma=1.0, log_interval=1, lr=0.1, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 134 | F 134 | G 44 | D 0 | EPS 0.911 | LR 0.08670 | L -24.474 | R 19.000 | Avg L -0.556 | Avg R 0.432
U 135 | F 135 | G 44 | D 0 | EPS 0.911 | LR 0.08660 | L -24.474 | R 19.000 | Avg L -0.556 | Avg R 0.432
U 135 | F 135 | G 45 | D 0 | EPS 0.910 | LR 0.08650 | L -25.712 | R 19.000 | Avg L -0.571 | Avg R 0.422
U 136 | F 136 | G 45 | D 0 | EPS 0.910 | LR 0.08650 | L -25.712 | R 19.000 | Avg L -0.571 | Avg R 0.422
U 137 | F 137 | G 45 | D 0 | EPS 0.909 | LR 0.08640 | L -25.712 | R 19.000 | Avg L -0.571 | Avg R 0.422
U 138 | F 138 | G 45 | D 0 | EPS 0.909 | LR 0.08630 | L -25.712 | R 19.000 | Avg L -0.571 | Avg R 0.422
U 138 | F 138 | G 46 | D 0 | EPS 0.908 | LR 0.08620 | L -26.704 | R 19.000 | Avg L -0.581 | Avg R 0.413
U 139 | F 139 | G 46 | D 0 | EPS 0.908 | LR 0.08620 | L -26.704 | R 19.000 | Avg L -0.581 | Avg R 0.413
U 140 | F 140 | G 46 | D 0 | EPS 0.907 | LR 0.08610 | L -26.704 | R 19.000 | Avg L -0.581 | Avg R 0.413
U 141 | F 141 | G 46 | D 0 | EPS 0.907 | LR 0.08600 | L -26.704 | R 19.000 | Avg L -0.581 | Avg R 0.413
U 141 | F 141 | G 47 | D 0 | EPS 0.906 | LR 0.08590 | L -26.671 | R 20.000 | Avg L -0.567 | Avg R 0.426
U 142 | F 142 | G 47 | D 0 | EPS 0.906 | LR 0.08590 | L -26.671 | R 20.000 | Avg L -0.567 | Avg R 0.426
